employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,commission_pct,manager_id,department_id,change_time,bonus
109,Daniel,Faviet,DFAVIET,1840754917,1900-01-00,FI_ACCOUNT,9000,,108,100,,1620
108,Nancy,Greenberg,NGREENBE,1852290388,1900-01-00,FI_MGR,12000,,101,100,,0
110,John,Chen,JCHEN,1833528026,1900-01-00,FI_ACCOUNT,8200,,108,100,,1476
115,Alexander,Khoo,AKHOO,1584164544,1900-01-00,PU_CLERK,3100,,114,30,,558
116,Shelli,Baida,SBAIDA,1893731132,1900-01-00,PU_CLERK,2900,,114,30,,522
118,Guy,Himuro,GHIMURO,1732267200,1900-01-00,PU_CLERK,2600,,114,30,,468
119,Karen,Colmenares,KCOLMENA,1897357570,1900-01-00,PU_CLERK,2500,,114,30,,450
120,Matthew,Weiss,MWEISS,1632647003,1900-01-00,ST_MAN,8000,,100,50,,1440
122,Payam,Kaufling,PKAUFLIN,1623114724,1900-01-00,ST_MAN,7900,,100,50,,1422
123,Shanta,Vollman,SVOLLMAN,1625658294,1900-01-00,ST_MAN,6500,,100,50,,1170
126,Irene,Mikkilineni,IMIKKILI,1529374263,1900-01-00,ST_CLERK,2700,,120,50,,486
127,James,Landry,JLANDRY,1601860078,1900-01-00,ST_CLERK,2400,,120,50,,432
128,Steven,Markle,SMARKLE,1734441511,1900-01-00,ST_CLERK,2200,,120,50,,396
129,Laura,Bissot,LBISSOT,1670175155,1900-01-00,ST_CLERK,3300,,121,50,,594
130,Mozhe,Atkinson,MATKINSO,1597349503,1900-01-00,ST_CLERK,2800,,121,50,,504
131,James,Marlow,JAMRLOW,1663737526,1900-01-00,ST_CLERK,2500,,121,50,,450
132,TJ,Olson,TJOLSON,1551609888,1900-01-00,ST_CLERK,2100,,121,50,,378
133,Jason,Mallin,JMALLIN,1557032233,1900-01-00,ST_CLERK,3300,,122,50,,594
134,Michael,Rogers,MROGERS,1888433284,1900-01-00,ST_CLERK,2900,,122,50,,522
135,Ki,Gee,KGEE,1820298410,1900-01-00,ST_CLERK,2400,,122,50,,432
136,Hazel,Philtanker,HPHILTAN,1570419549,1900-01-00,ST_CLERK,2200,,122,50,,396
137,Renske,Ladwig,RLADWIG,1759936333,1900-01-00,ST_CLERK,3600,,123,50,,648
138,Stephen,Stiles,SSTILES,1897118299,1900-01-00,ST_CLERK,3200,,123,50,,576
139,John,Seo,JSEO,1632895425,1900-01-00,ST_CLERK,2700,,123,50,,486
140,Joshua,Patel,JPATEL,1789778970,1900-01-00,ST_CLERK,2500,,123,50,,450
141,Trenna,Rajs,TRAJS,1610247826,1900-01-00,ST_CLERK,3500,,124,50,,630
142,Curtis,Davies,CDAVIES,1910422646,1900-01-00,ST_CLERK,3100,,124,50,,558
143,Randall,Matos,RMATOS,1755407167,1900-01-00,ST_CLERK,2600,,124,50,,468
144,Peter,Vargas,PVARGAS,1762529731,1900-01-00,ST_CLERK,2500,,124,50,,450
145,John,Russell,JRUSSEL,1767362572,1900-01-00,SA_MAN,14000,0.4,100,80,,2520
146,Karen,Partners,KPARTNER,1588853367,1900-01-00,SA_MAN,13500,0.3,100,80,,2430
148,Gerald,Cambrault,GCAMBRAU,1765693216,1900-01-00,SA_MAN,11000,0.3,100,80,,1980
149,Eleni,Zlotkey,EZLOTKEY,1697352169,1900-01-00,SA_MAN,10500,0.2,100,80,,1890
150,Peter,Tucker,PTUCKER,1856900953,1900-01-00,SA_REP,10000,0.3,145,80,,1800
151,David,Bernstein,DBERNSTE,1563882694,1900-01-00,SA_REP,9500,0.25,145,80,,1710
152,Peter,Hall,PHALL,1746205374,1900-01-00,SA_REP,9000,0.25,145,80,,1620
153,Christopher,Olsen,COLSEN,1732400899,1900-01-00,SA_REP,8000,0.2,145,80,,1440
154,Nanette,Cambrault,NCAMBRAU,1704317730,1900-01-00,SA_REP,7500,0.2,145,80,,1350
114,Den,Raphaely,DRAPHEAL,1704231554,1900-01-00,PU_MAN,11000,,100,30,,
124,Kevin,Mourgos,KMOURGOS,1913679702,1900-01-00,ST_MAN,5800,,100,50,,0
121,Adam,Fripp,AFRIPP,1800613121,1900-01-00,ST_MAN,8200,,100,50,,
117,Sigal,Tobias,STOBIAS,1721072576,1900-01-00,PU_CLERK,2800,,114,30,,
155,Oliver,Tuvault,OTUVAULT,1724122818,1900-01-00,SA_REP,7000,0.15,145,80,,1260
156,Janette,King,JKING,1625587368,1900-01-00,SA_REP,10000,0.35,146,80,,1800
157,Patrick,Sully,PSULLY,1720043389,1900-01-00,SA_REP,9500,0.35,146,80,,1710
158,Allan,McEwen,AMCEWEN,1854418891,1900-01-00,SA_REP,9000,0.35,146,80,,1620
159,Lindsey,Smith,LSMITH,1565515877,1900-01-00,SA_REP,8000,0.3,146,80,,1440
160,Louise,Doran,LDORAN,1724111589,1900-01-00,SA_REP,7500,0.3,146,80,,1350
161,Sarath,Sewall,SSEWALL,1830224622,1900-01-00,SA_REP,7000,0.25,146,80,,1260
162,Clara,Vishney,CVISHNEY,1606234066,1900-01-00,SA_REP,10500,0.25,147,80,,1890
163,Danielle,Greene,DGREENE,1562178238,1900-01-00,SA_REP,9500,0.15,147,80,,1710
164,Mattea,Marvins,MMARVINS,1596492970,1900-01-00,SA_REP,7200,0.1,147,80,,1296
165,David,Lee,DLEE,1566388409,1900-01-00,SA_REP,6800,0.1,147,80,,1224
166,Sundar,Ande,SANDE,1755162292,1900-01-00,SA_REP,6400,0.1,147,80,,1152
