EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
198,Donald,OConnell,DOCONNEL,650.507.9833,2007-06-21,SH_CLERK,2600,26,124,50
199,Douglas,Grant,DGRANT,650.507.9844,2008-01-13,SH_CLERK,2600,26,124,50
200,Jennifer,Whalen,JWHALEN,515.123.4444,2003-09-17,AD_ASST,4400,44,101,10
201,Michael,Hartstein,MHARTSTE,515.123.5555,2004-02-17,MK_MAN,13000,130,100,20
202,Pat,Fay,PFAY,603.123.6666,2005-08-17,MK_REP,6000,60,201,20
203,Susan,Mavris,SMAVRIS,515.123.7777,2002-06-07,HR_REP,6500,65,101,40
204,Hermann,Baer,HBAER,515.123.8888,2002-06-07,PR_REP,10000,100,101,70
205,Shelley,Higgins,SHIGGINS,515.123.8080,2002-06-07,AC_MGR,12008,120.08,101,110
206,William,Gietz,WGIETZ,515.123.8181,2002-06-07,AC_ACCOUNT,8300,83,205,110
100,Steven,King,SKING,515.123.4567,2003-06-17,AD_PRES,24000,240,,90
101,Neena,Kochhar,NKOCHHAR,515.123.4568,2005-09-21,AD_VP,17000,170,100,90
102,Lex,De Haan,LDEHAAN,515.123.4569,2001-01-13,AD_VP,17000,170,100,90
103,Alexander,Hunold,AHUNOLD,590.423.4567,2006-01-03,IT_PROG,9000,90,102,60
104,Bruce,Ernst,BERNST,590.423.4568,2007-05-21,IT_PROG,6000,60,103,60
105,David,Austin,DAUSTIN,590.423.4569,2005-06-25,IT_PROG,4800,48,103,60
106,Valli,Pataballa,VPATABAL,590.423.4560,2006-02-05,IT_PROG,4800,48,103,60
107,Diana,Lorentz,DLORENTZ,590.423.5567,2007-02-07,IT_PROG,4200,42,103,60
108,Nancy,Greenberg,NGREENBE,515.124.4569,2002-08-17,FI_MGR,12008,120.08,101,100
109,Daniel,Faviet,DFAVIET,515.124.4169,2002-08-16,FI_ACCOUNT,9000,90,108,100
110,John,Chen,JCHEN,515.124.4269,2005-09-28,FI_ACCOUNT,8200,82,108,100
111,Ismael,Sciarra,ISCIARRA,515.124.4369,2005-09-30,FI_ACCOUNT,7700,77,108,100
112,Jose Manuel,Urman,JMURMAN,515.124.4469,2006-03-07,FI_ACCOUNT,7800,78,108,100
113,Luis,Popp,LPOPP,515.124.4567,2007-12-07,FI_ACCOUNT,6900,69,108,100
114,Den,Raphaely,DRAPHEAL,515.127.4561,2002-12-07,PU_MAN,11000,110,100,30
115,Alexander,Khoo,AKHOO,515.127.4562,2003-05-18,PU_CLERK,3100,31,114,30
116,Shelli,Baida,SBAIDA,515.127.4563,2005-12-24,PU_CLERK,2900,29,114,30
117,Sigal,Tobias,STOBIAS,515.127.4564,2005-07-24,PU_CLERK,2800,28,114,30
118,Guy,Himuro,GHIMURO,515.127.4565,2006-11-15,PU_CLERK,2600,26,114,30
119,Karen,Colmenares,KCOLMENA,515.127.4566,2007-08-10,PU_CLERK,2500,25,114,30
120,Matthew,Weiss,MWEISS,650.123.1234,2004-07-18,ST_MAN,8000,80,100,50
121,Adam,Fripp,AFRIPP,650.123.2234,2005-04-10,ST_MAN,8200,82,100,50
122,Payam,Kaufling,PKAUFLIN,650.123.3234,2003-05-01,ST_MAN,7900,79,100,50
123,Shanta,Vollman,SVOLLMAN,650.123.4234,2005-10-10,ST_MAN,6500,65,100,50
124,Kevin,Mourgos,KMOURGOS,650.123.5234,2007-11-16,ST_MAN,5800,58,100,50
125,Julia,Nayer,JNAYER,650.124.1214,2005-07-16,ST_CLERK,3200,32,120,50
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,2006-09-28,ST_CLERK,2700,27,120,50
127,James,Landry,JLANDRY,650.124.1334,2007-01-14,ST_CLERK,2400,24,120,50
128,Steven,Markle,SMARKLE,650.124.1434,2008-03-08,ST_CLERK,2200,22,120,50
129,Laura,Bissot,LBISSOT,650.124.5234,2005-08-20,ST_CLERK,3300,33,121,50
130,Mozhe,Atkinson,MATKINSO,650.124.6234,2005-10-30,ST_CLERK,2800,28,121,50
131,James,Marlow,JAMRLOW,650.124.7234,2005-02-16,ST_CLERK,2500,25,121,50
132,TJ,Olson,TJOLSON,650.124.8234,2007-04-10,ST_CLERK,2100,21,121,50
133,Jason,Mallin,JMALLIN,650.127.1934,2004-06-14,ST_CLERK,3300,33,122,50
134,Michael,Rogers,MROGERS,650.127.1834,2006-08-26,ST_CLERK,2900,29,122,50
135,Ki,Gee,KGEE,650.127.1734,2007-12-12,ST_CLERK,2400,24,122,50
136,Hazel,Philtanker,HPHILTAN,650.127.1634,2008-02-06,ST_CLERK,2200,22,122,50
137,Renske,Ladwig,RLADWIG,650.121.1234,2003-07-14,ST_CLERK,3600,36,123,50
138,Stephen,Stiles,SSTILES,650.121.2034,2005-10-26,ST_CLERK,3200,32,123,50
139,John,Seo,JSEO,650.121.2019,2006-02-12,ST_CLERK,2700,27,123,50
140,Joshua,Patel,JPATEL,650.121.1834,2006-04-06,ST_CLERK,2500,25,123,50
